id_empresa,datetime,processo,uso_de_cpu,uso de gpu,mac_address
1,2025-11-18 22:36:57,systemd,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kthreadd,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,pool_workqueue_release,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/R-rcu_gp,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/R-sync_wq,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/R-kvfree_rcu_reclaim,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/R-slub_flushwq,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/R-netns,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/0:1-mm_percpu_wq,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/0:0H-events_highpri,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/R-mm_percpu_wq,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,rcu_tasks_kthread,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,rcu_tasks_rude_kthread,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,rcu_tasks_trace_kthread,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,ksoftirqd/0,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,rcu_preempt,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,rcu_exp_par_gp_kthread_worker/0,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,rcu_exp_gp_kthread_worker,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,migration/0,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,idle_inject/0,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,cpuhp/0,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,cpuhp/2,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,idle_inject/2,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,migration/2,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,ksoftirqd/2,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/2:0H-events_highpri,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,cpuhp/4,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,idle_inject/4,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,migration/4,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,ksoftirqd/4,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,kworker/4:0H-events_highpri,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,cpuhp/6,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,idle_inject/6,0.0,9.41,e8:5c:5f:1e:b4:1d
1,2025-11-18 22:36:57,migration/6,0.0,9.41,e8:5c:5f:1e:b4:1d
