id_empresa,datetime,processo,uso de cpu,uso de gpu,mac_address
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,MemCompression,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Code.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,atieclxx.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.7,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,MpDefenderCoreService.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,explorer.exe,1.3,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedgewebview2.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedgewebview2.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Code.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,UDClientService.exe,0.7,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,spoolsv.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,9.7,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,DAX3API.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
